"","unit","timestamp","sensor","genotype","g_alias","treatment","3D Leaf Area mm²","Canopy Light Penetration Depth mm","Convex Hull Area Coverage %","Convex Hull Area mm²","Convex Hull Aspect Ratio","Convex Hull Circumference mm","Convex Hull Maximum Width mm","Digital Biomass mm³","GLI Average","GLI [-0.2:0] %","GLI [-1:-0.2] %","GLI [0.15:0.3] %","GLI [0.3:0.6] %","GLI [0.6:1] %","GLI [0:0.15] %","Hue Average °","Hue [0:25] %","Hue [100:125] %","Hue [125:360] %","Hue [25:50] %","Hue [50:75] %","Hue [75:100] %","Lightness Average %","Lightness [0:0] %","Lightness [0:25] %","Lightness [100:100] %","Lightness [25:50] %","Lightness [50:75] %","Lightness [75:100] %","NA NA","NDVI Average","NDVI [-1:0] %","NDVI [0.15:0.3] %","NDVI [0.3:0.45] %","NDVI [0.45:0.6] %","NDVI [0.6:1] %","NDVI [0:0.15] %","NPCI Average","NPCI [-0.2:0] %","NPCI [-1:-0.2] %","NPCI [0.2:0.4] %","NPCI [0.4:0.6] %","NPCI [0.6:1] %","NPCI [0:0.2] %","PSRI Average","PSRI [-0.2:0] %","PSRI [-0.4:-0.2] %","PSRI [-0.8:-0.4] %","PSRI [-4:-0.8] %","PSRI [0.2:4] %","PSRI [0:0.2] %","Plant Height Averaged mm","Plant Height Max mm","Projected Leaf Area mm²","Saturation Average %","Saturation [0:0] %","Saturation [0:25] %","Saturation [100:100] %","Saturation [25:50] %","Saturation [50:75] %","Saturation [75:100] %","Surface Angle Average °","Voxel Volume Total mm³"
"21","12:1:1",2022-12-09 10:18:55,"A","potato","potato","n/a",18732.3,121.845,64.1982,24451.3,69.4169,602.358,235.973,4250800,0.140108,4.19643,4.58833,50.6416,8.35472,0.634667,31.5842,140.787,2.71901,14.2436,75.1231,1.26933,2.03232,4.61261,4.99804,0,99.9965,0,0.00346813,0,0,0.229036,0.65047,1.31442,2.43463,2.52827,12.7384,79.7669,1.21731,-0.0673807,56.1455,19.6261,3.92939,1.69245,2.08781,16.5187,-0.0186661,74.3463,0.929458,0.273982,0.135257,4.05077,20.2643,226.923,233.399,15697.3,29.3998,0,46.9168,3.14212,44.725,4.3525,0.863564,56.8966,28834
"22","12:1:1",2022-12-09 10:21:18,"A","potato","potato","n/a",17815.5,123.279,66.6674,22253.7,73.4595,579.464,222.764,4044000,0.138713,4.3652,4.88931,50.4508,8.74872,0.689049,30.8569,140.229,2.77452,14.602,74.5675,1.15819,2.03416,4.86366,4.88951,0,99.9963,0,0.00366515,0,0,2.104,0.65134,1.29746,2.30538,2.75619,13.2935,79.2186,1.12887,-0.0635844,56.3041,18.9745,4.07931,1.65298,2.23574,16.7534,-0.0169282,73.9628,0.831989,0.285882,0.0952939,4.07931,20.7448,226.994,233.399,14836,29.6476,0,46.9506,3.36461,44.4473,4.4275,0.809999,56.3553,27284
"23","12:1:1",2022-12-12 10:31:22,"A","potato","potato","n/a",19913.7,108.621,62.7369,26491.2,71.3022,622.015,239.28,4635470,0.141803,3.72808,2.80782,46.3324,6.32767,0.423188,40.3809,144.472,1.57856,13.9383,76.6205,1.06805,1.75321,5.04131,5.12165,0,99.9731,0,0.0268691,0,0,3163020,0.65584,0.792638,1.32666,2.01182,14.7646,80.1337,0.970646,-0.0820091,57.5636,20.3164,3.66091,1.0311,1.17552,16.2524,-0.0303028,76.6138,0.856452,0.238463,0.0772486,2.34097,19.873,232.778,237.399,16619.8,26.5714,0,54.4468,1.69611,40.0584,3.32169,0.476926,56.5396,29774
"24","12:1:1",2022-12-12 10:33:52,"A","potato","potato","n/a",19980.9,109.124,62.9819,26401.9,71.4147,621.39,238.773,4649740,0.140572,3.5936,2.93259,46.3879,6.35842,0.429487,40.298,144.651,1.62064,13.9684,76.6332,1.1274,1.68104,4.9693,5.11948,0,99.9497,0,0.0503305,0,0,0.149233,0.656505,0.697916,1.51663,2.09375,14.6462,80.0322,1.01332,-0.0844215,57.1318,20.6422,3.45938,1.0603,1.19116,16.5151,-0.0307572,76.4722,0.902594,0.234876,0.0973056,2.39909,19.894,232.709,237.399,16628.4,26.8332,0,53.8939,1.80183,40.4288,3.30168,0.573768,56.2939,29803
"25","12:1:1",2022-12-13 10:40:42,"A","potato","potato","n/a",19544.2,96.2077,63.9752,25415.7,74.4634,612.807,234.27,4578960,0.147228,3.73217,1.92294,46.5573,6.13412,0.389413,41.264,145.918,1.18202,13.8466,77.3451,0.995934,1.79544,4.83493,5.05925,0,99.9242,0,0.0689227,0.00689227,0,0.0971928,0.668864,0.451444,0.840857,1.60935,13.7191,82.628,0.751258,-0.0934522,57.4919,21.6245,3.26694,0.923565,0.809842,15.8832,-0.0370823,77.8758,0.892549,0.227445,0.0792611,1.34055,19.5844,234.287,239.799,16259.7,26.2774,0,54.6109,1.39913,40.6816,2.90854,0.399752,56.2665,29018
"26","12:1:1",2022-12-13 10:43:52,"A","potato","potato","n/a",19645.1,95.408,63.5459,25650.9,73.3712,615.757,235.794,4599010,0.146795,3.52356,2.03942,46.0566,6.24165,0.404456,41.7344,146.127,1.15167,13.7755,77.5801,0.980291,1.56984,4.94259,5.08078,0,99.9314,0,0.0616967,0.00685518,0,14.3234,0.668411,0.462725,0.922022,1.63839,13.5973,82.7215,0.658098,-0.0938621,57.3539,21.8817,3.32476,0.774636,0.82605,15.8389,-0.0370593,78.0943,0.819194,0.209083,0.0616967,1.27849,19.5373,234.104,239.799,16300.1,26.2545,0,54.2999,1.44302,41.1791,2.65638,0.421594,56.038,29175
"27","12:1:1",2022-12-14 13:50:22,"A","potato","potato","n/a",19341.7,98.5799,61.2744,26282.4,68.5756,618.419,238.773,4550890,0.148247,3.68878,1.85989,46.108,6.52683,0.344424,41.4721,145.392,1.22959,14.2764,76.5378,1.08838,1.72901,5.1388,5.09603,0,99.845,0,0.123993,0.0241097,0.00688848,0.13727,0.664358,0.547634,1.02983,1.87711,13.7907,81.997,0.757732,-0.0880321,57.7289,20.5518,3.41668,0.9265,0.830061,16.5461,-0.033952,77.1544,0.754288,0.196322,0.072329,1.59813,20.2246,235.289,242.184,16104.4,26.0774,0,54.7255,1.24681,40.7591,2.85872,0.409864,56.3373,29034
"28","12:1:1",2022-12-14 13:52:46,"A","potato","potato","n/a",19332.3,98.4656,61.8496,25950,68.8969,616.711,238.385,4548650,0.147675,3.76174,1.88607,45.9661,6.35856,0.336303,41.6912,145.795,1.33481,14.0901,76.8887,0.936102,1.62604,5.12429,5.13505,0,99.8475,0,0.124814,0.0173352,0.0104011,0.10099,0.665797,0.523524,1.00891,1.841,13.8266,82.117,0.683008,-0.0903022,57.494,20.993,3.12034,0.849426,0.904899,16.6384,-0.0346928,77.4295,0.745415,0.208023,0.0624068,1.57404,19.9806,235.287,242.199,16050,26.0565,0,54.8313,1.17533,40.6996,2.87765,0.416045,56.0895,28843
"29","12:1:1",2022-12-15 10:35:11,"A","potato","potato","n/a",19848,91.3369,62.8243,26384,68.3362,621.431,241.197,4671240,0.151235,3.49923,1.86043,49.2881,6.3604,0.298878,38.693,145.986,1.14178,13.6544,78.0946,0.94365,1.397,4.76862,4.96506,0,99.9093,0,0.0805964,0.0100746,0,0.181711,0.671029,0.547384,0.889919,1.64551,13.2111,82.9572,0.748875,-0.0970819,57.9387,21.7207,3.04587,0.745517,0.725368,15.8238,-0.0363382,78.5278,0.785815,0.208207,0.0805964,1.43059,18.967,235.351,242.199,16575.6,26.4776,0,51.6388,1.26604,43.9015,2.80744,0.386191,56.596,29778
"30","12:1:1",2022-12-15 10:37:32,"A","potato","potato","n/a",19835.5,91.2072,62.6478,26507.4,68.4812,622.235,241.197,4668130,0.151632,3.47236,1.81138,48.8503,6.22619,0.344228,39.2955,146.069,1.23989,13.8761,77.8357,0.90903,1.50725,4.63204,4.97454,0,99.9131,0,0.0835506,0.00334202,0,0.184484,0.669621,0.665062,0.935766,1.6543,12.957,82.9156,0.872268,-0.0981401,57.2522,22.2011,2.84406,0.721877,0.808769,16.172,-0.037242,78.3437,0.695141,0.217231,0.0868926,1.37691,19.2801,235.342,242.199,16606.3,26.4772,0,51.5507,1.31007,44.1114,2.69367,0.334202,56.8118,29922
"31","12:1:1",2022-12-16 10:53:52,"A","potato","potato","n/a",19194.1,111.421,64.316,25341.8,68.928,612.204,236.41,4675320,0.145531,3.29536,2.84445,47.5827,7.52983,0.423786,38.3238,144.076,1.62734,13.7781,77.1189,0.796718,1.56631,5.11256,4.90877,0,99.8915,0,0.081367,0.0271223,0,0.197883,0.661611,0.952672,1.38663,1.80702,12.2593,82.7333,0.861134,-0.0820367,59.5233,18.8025,3.58693,1.0137,1.18999,15.8835,-0.0290007,77.0511,0.779767,0.264443,0.132221,2.28167,19.4908,243.581,253.799,16298.8,27.1793,0,52.7631,2.07825,41.2056,3.46149,0.491592,58.0856,29496
"32","12:1:1",2022-12-16 10:56:27,"A","potato","potato","n/a",19155.3,114.555,64.5143,25250.9,69.6977,610.455,234.891,4665360,0.142525,3.52814,3.10949,46.6221,7.65387,0.486174,38.6002,144.319,1.91431,13.6061,77.1633,0.860934,1.51254,4.94277,4.8997,0,99.8785,0,0.0911577,0.0270097,0.00337621,16.1381,0.660684,0.96222,1.59695,1.65097,11.9518,82.9096,0.928458,-0.0822928,59.7758,18.586,3.76448,0.911577,1.22556,15.7365,-0.0299057,76.9574,0.803538,0.297107,0.189068,2.06624,19.6867,243.554,254.199,16290.5,27.2433,0,52.7601,2.13039,40.994,3.51464,0.600966,58.2248,29619
"33","12:1:2",2022-11-24 17:19:57,"A","potato","potato","n/a",17467.4,73.5812,77.0946,17259.5,84.4976,485.555,168.76,1460540,0.270372,1.35735,0.48205,47.7483,38.3991,1.00639,11.0068,116.39,0.761132,38.1919,38.5513,1.8098,3.74646,16.9394,5.67315,0,100,0,0,0,0,0.0815689,0.672903,0.194511,0.655419,2.9811,17.6456,78.1851,0.338281,0.0356561,37.287,8.13142,14.7744,3.25172,0.676561,35.8789,0.0156308,44.9406,0.372109,0.101484,0.00422851,2.18614,52.3955,83.6152,101.399,13306.2,35.4016,0,20.8973,0.646962,67.043,10.6812,0.731532,49.604,23649
